Title,Author,Score,Ratings,Shelvings,Published
The Night in Question (The Agathas #2),Kathleen Glasgow,3.93,4690,17913,2023
"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,4.01,203815,273645,2006
Dames and Daughters of Colonial Days,Geraldine  Brooks,3.42,12,207,1900
"Finding Cinderella (Hopeless, #2.5)",Colleen Hoover,3.98,167849,263922,2013
Under the Whispering Door,T.J. Klune,4.16,227148,527466,2021
"The Rose Society (The Young Elites, #2)",Marie Lu,4.03,65046,137402,2015
"Passion (Fallen, #3)",Lauren Kate,3.86,169073,279385,2011
Feminist Theory: From Margin to Center,bell hooks,4.44,7995,45928,1984
War for the Oaks,Emma Bull,4.01,10434,20107,1987
Six Characters in Search of an Author,Luigi Pirandello,3.83,20232,25298,1921
Notes from a Small Island,Bill Bryson,3.91,113353,182233,1995
The Watchmaker's Daughter: The True Story of World War II Heroine Corrie ten Boom,Larry Loftis,4.32,3258,17448,2023
"The Light Years (Cazalet Chronicles, #1)",Elizabeth Jane Howard,3.95,15209,22311,1990
Tropic Moon,Georges Simenon,3.65,804,1316,1933
On the Shores of the Great Sea (Story of the World #1),Margaret Bertha Synge,3.95,38,123,1903
This Changes Everything: Capitalism vs. The Climate,Naomi Klein,4.15,25776,116776,2014
"A Soul to Touch (Duskwalker Brides, #3)",Opal Reyne,4.36,9058,24115,2023
"Pawn of Prophecy (The Belgariad, #1)",David Eddings,4.16,105554,161136,1982
The Bedbug and Selected Poetry,Vladimir Mayakovsky,4.2,3026,6688,1929
"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06,137636,217364,1945
Myths and Legends of the Sioux,Marie L. McLaughlin,3.76,151,289,1913
The Vinland Sagas: The Norse Discovery of America (Penguin Classics),Unknown,3.81,1278,3667,1965
The Road Not Taken,Robert Frost,4.01,68,107,1916
"Half Bad (The Half Bad Trilogy, #1)",Sally Green,3.78,53435,113560,2014
"One with You (Crossfire, #5)",Sylvia Day,4.14,79294,153489,2016
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",Louise Rennison,3.75,133556,197355,1999
The Octopus: A Story of California,Frank Norris,3.82,1898,6562,1901
"The Crisis of the Old Order 1919-33 (The Age of Roosevelt, Vol 1)",Arthur M. Schlesinger Jr.,4.18,388,1940,1957
Severance,Ling  Ma,3.91,99899,269932,2018
Peasants and Other Stories,Anton Chekhov,4.21,364,1351,1904
An Abundance of Katherines,John Green,3.52,529072,855305,2006
"Hercule Poirot's Christmas (Hercule Poirot, #20)",Agatha Christie,3.98,84521,99739,1938
The Museum of Failures,Thrity Umrigar,4.14,7104,32054,2023
ರಂಗನ ಮದುವೆ | Ranga's Marriage,Masti Venkatesha Iyengar,3.19,43,211,1910
"Akira, Vol. 3",Katsuhiro Otomo,4.44,12971,17747,1984
The Spirit Bares Its Teeth,Andrew Joseph White,4.55,6394,40674,2023
The Land of the Blue Flower,Frances Hodgson Burnett,3.86,484,795,1908
Build the Life You Want: The Art and Science of Getting Happier,Arthur C. Brooks,3.81,7473,36676,2023
The Help,Kathryn Stockett,4.47,3167548,4303112,2009
The Bookseller of Kabul,Åsne Seierstad,3.77,53529,82429,2002
Old Bugs,H.P. Lovecraft,2.82,972,1142,1919
Summer Moonshine,P.G. Wodehouse,4.11,1645,2196,1937
Lord Byron: Complete Works,Lord Byron,4.48,267,475,1901
The Expedition of the Donner Party and Its Tragic Fate,Eliza Poor Donner Houghton,3.88,409,442,1911
The Slaves of Solitude,Patrick Hamilton,4.08,2644,7261,1947
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1846776,2388806,2009
The Lives and Times of Archy and Mehitabel,Don Marquis,4.37,307,704,1916
The Green Archer,Edgar Wallace,3.66,338,370,1923
War of the Classes,Jack London,3.5,130,345,1906
"Unnatural Death (Lord Peter Wimsey, #3)",Dorothy L. Sayers,4.07,28336,35188,1927
The Ticket That Exploded (The Nova Trilogy #3),William S. Burroughs,3.61,2561,5722,1962
The Favorite Game,Leonard Cohen,3.82,4144,6821,1963
L'île aux trente cercueils,Maurice Leblanc,3.62,902,1290,1919
"The Civil War, Vol. 1: Fort Sumter to Perryville",Shelby Foote,4.44,12787,22502,1958
