Title,Author,Score,Ratings,Shelvings,Published
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.11,936239,973870,2008
Search History,Amy   Taylor,3.52,2547,16458,2023
"The Plymouth Express: a Hercule Poirot Short Story (Hercule Poirot, #SS-06)",Agatha Christie,3.62,1937,3968,1923
Mont-Saint-Michel and Chartres,Henry Adams,3.95,414,1760,1904
It's One of Us,J.T. Ellison,3.83,29573,91720,2023
The Children Who Lived in a Barn,Eleanor Graham,3.87,293,718,1938
The Divine Conspiracy: Rediscovering Our Hidden Life in God,Dallas Willard,4.21,14508,32938,1998
How to Have Confidence and Power in Dealing with People,Les Giblin,4.27,13654,35889,1956
13 Steps to Mentalism,Corinda,4.25,473,4472,1958
Pretty Little Wife,Darby Kane,3.93,61270,130356,2020
Heaven to Betsy / Betsy in Spite of Herself (Betsy-Tacy #5-6),Maud Hart Lovelace,4.5,1308,2055,1946
"Blood Rites (The Dresden Files, #6)",Jim Butcher,4.3,129854,165964,2004
War against war,Ernst Friedrich,4.42,135,311,1924
"The Return of the Great Brain (The Great Brain, #6)",John D. Fitzgerald,4.28,2699,3671,1974
Dispensational Truth or God's Plan and Purpose in the Ages,Clarence Larkin,4.54,189,224,1918
Murder in the Cathedral,T.S. Eliot,3.72,10879,21861,1936
"Where Are the Children? (Where Are the Children, #1)",Mary Higgins Clark,4.04,55813,82787,1975
Shogun: The Life of Tokugawa Ieyasu,A.L. Sadler,3.67,162,619,1937
Don't Stop the Carnival,Herman Wouk,3.92,3582,7166,1965
Dungeons and Drama,Kristy Boyce,4.21,7122,29451,2024
All New Square Foot Gardening,Mel Bartholomew,4.15,9309,11081,1981
"The Melted Coins (Hardy Boys, #23)",Franklin W. Dixon,3.79,2177,3911,1944
Mam'zelle Guillotine,Emmuska Orczy,3.81,219,882,1940
The Virgin Blue,Tracy Chevalier,3.67,32799,46882,1997
"Daggerspell (Deverry, #1)",Katharine Kerr,3.91,16100,34701,1986
Boundaries of the Soul: The Practice of Jung's Psychology,June K. Singer,4.28,985,3815,1972
Bedtime for Frances,Russell Hoban,4.14,27893,34724,1960
Mr. Bowling Buys a Newspaper,Donald Henderson,3.48,475,859,1943
Hotel du Lac,Anita Brookner,3.6,22222,37480,1984
"Imago (Xenogenesis, #3)",Octavia E. Butler,4.21,20309,31565,1989
The Tale of Benjamin Bunny,Beatrix Potter,4.22,16590,22166,1904
"Dark Reunion (The Vampire Diaries, #4)",L.J. Smith,3.5,28808,41699,1991
Celebrated Cases Of Judge Dee (Dee Goong An),"Robert van Gulik (Translator, Contributor)",3.93,2342,4706,1949
Quality,John Galsworthy,3.86,92,325,1912
Obscure Destinies (Willa Cather Scholarly Edition),Kari A. Ronning,4.12,321,501,1932
The Girl with the Lower Back Tattoo,Amy Schumer,3.72,124590,247406,2016
"An Optimist's Guide to Heartbreak (Heartsong, #1)",Jennifer Hartmann,4.2,9278,33049,2023
The Ritual Bath (Peter Decker/Rina Lazarus #1),Faye Kellerman,3.94,17607,26013,1986
"Raised by Wolves (Raised by Wolves, #1)",Jennifer Lynn Barnes,3.92,29423,71700,2010
"Her Majesty's Wizard (Wizard in Rhyme, #1)",Christopher Stasheff,3.94,6823,9785,1986
The Note Books Of Samuel Butler,Samuel Butler,3.89,38,184,1912
The Dean's Watch,Elizabeth Goudge,4.49,1784,3804,1960
Lie With Me,Philippe Besson,4.26,40424,123646,2017
"Anne of Windy Poplars (Anne of Green Gables, #4)",L.M. Montgomery,4.02,98299,141998,1936
The Problems of Philosophy,Bertrand Russell,3.91,16392,47330,1912
"The Ignatius Bible: Revised Standard Version, Second Catholic Edition",Anonymous,4.72,1742,2612,1966
"Killer's Choice (87th Precinct, #5)",Ed McBain,3.9,2576,2049,1957
Practical English Usage,Michael Swan,4.31,1410,6253,1981
The Best Ghost Stories,Various (Editor),3.09,161,240,1919
At the Mind's Limits: Contemplations by a Survivor on Auschwitz and its Realities,Jean Améry,4.32,1024,2853,1966
The Autobiography of Lincoln Steffens,Lincoln Steffens,4.29,56,407,1931
The Pursuit of God: The Human Thirst for the Divine,A.W. Tozer,4.38,77802,151461,1948
"Princeps' Fury (Codex Alera, #5)",Jim Butcher,4.37,64099,77914,2008
"Myth Directions (Myth Adventures, #3)",Robert Lynn Asprin,4.08,12459,14699,1982
"The Heir (The Selection, #4)",Kiera Cass,3.64,356676,589849,2015
Myra Breckinridge,Gore Vidal,3.57,4918,11203,1968
The Sweet Gum Tree,Katherine Allred,4.26,30444,57687,2005
"Raise the Titanic! (Dirk Pitt, #4)",Clive Cussler,3.99,28421,38597,1976
Small Sacrifices,Ann Rule,4.25,30378,52573,1987
"The Mystery of the Fire Dragon (Nancy Drew Mystery Stories, #38)",Carolyn Keene,3.99,5361,10137,1961
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.84,7385,39035,2000
The Art of Fiction: Notes on Craft for Young Writers,John Gardner,3.99,6025,16417,1984
Alone With You in the Ether,Olivie Blake,3.84,77101,223411,2020
Psychology of the Unconscious,C.G. Jung,4.15,1238,6423,1912
An Imaginary Life,David Malouf,3.87,2426,4730,1978
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov,4.03,2694,6515,1917
The Shutter of Snow,Emily Holmes Coleman,3.5,400,1475,1930
"Drums, Girls & Dangerous Pie",Jordan Sonnenblick,4.24,29546,47492,2005
Black Candle Women,Diane Marie Brown,3.41,5820,33297,2023
The Defendant,G.K. Chesterton,4.08,325,548,1901
"Shabanu: Daughter of the Wind (Shabanu, #1)",Suzanne Fisher Staples,3.77,7185,11751,1989
A Matter of Choice,Nora Roberts,3.89,6936,9785,1984
Sultana's Dream,Rokeya Sakhawat Hossain,3.88,2057,6541,1905
Dawn,Elie Wiesel,3.84,20654,61753,1960
The Journal of a Disappointed Man,W.N.P. Barbellion,4.07,699,2219,1919
The Psychology of Clothes,John Carl Flügel,3.57,67,441,1930
Tolstoy,Henri Troyat,4.33,735,4495,1965
The One That Got Away with Murder,Trish Lundy,3.91,719,42838,2024
"Partials (Partials Sequence, #1)",Dan Wells,3.93,58563,144883,2012
The Grapes of Wrath,John Steinbeck,4.01,908168,1461694,1939
Cell,Stephen King,3.66,223383,350384,2006
Men at Arms: The Play,Stephen Briggs (Adapter),4.41,30069,36655,1997
Ferdydurke,Witold Gombrowicz,3.78,17982,32299,1937
Tomorrow And Tomorrow And Tommorrow,Kurt Vonnegut Jr.,3.73,339,1435,1954
As We May Think,Vannevar Bush,4.51,100,489,1945
The Silent Wife,A.S.A. Harrison,3.29,113925,187544,2013
A Happy Death,Albert Camus,3.81,18935,40015,1971
The Villa,Rachel Hawkins,3.64,97931,235406,2023
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,472498,591873,2007
"Skeleton Key (Alex Rider, #3)",Anthony Horowitz,4.07,55854,79232,2002
The Well Wrought Urn: Studies in the Structure of Poetry,Cleanth Brooks,3.83,369,1252,1947
"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,4.12,48500,144290,1994
Colours and Years,Margit Kaffka,3.63,227,308,1912
The Edge of Running Water,William  Sloane,3.75,237,709,1939
The Hammer of Eden,Ken Follett,3.59,15995,16968,1993
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson, #2)",Louise Rennison,3.95,48075,67458,2000
"The Patchwork Girl of Oz (Oz, #7)",L. Frank Baum,3.87,8809,17599,1913
"Sally Wister's Journal: A True Narrative- Being a Quaker Maiden's Account of Her Experiences With Officers of the Continental Army, 1777-1778",Sally Wister,3.7,63,97,1902
The Secret of Light,Walter Russell,4.45,149,1208,1947
"Glass Sword (Red Queen, #2)",Victoria Aveyard,3.8,360884,594739,2016
"Icebreaker (Maple Hills, #1)",Hannah  Grace,3.89,736561,1357374,2022
The Christmas Orphans Club,Becca Freeman,3.82,14183,42346,2023
Disavowals: Or Cancelled Confessions,Claude Cahun,4.1,145,964,1930
The Suitcase,Sergei Dovlatov,4.31,9673,10080,1986
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,4.44,132547,245213,1959
Comics and Sequential Art,Will Eisner,4.11,6157,12083,1985
The Sacred and the Profane: The Nature of Religion,Mircea Eliade,4.11,8174,21358,1957
"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",Margaret Weis,4.14,58258,68621,1985
Abel's Island,William Steig,3.94,5134,9508,1976
"Deep Wizardry (Young Wizards, #2)",Diane Duane,4.04,16739,21176,1985
The Complete Short Stories of Ernest Hemingway,Ernest Hemingway,4.29,36466,84123,1987
The Book of Indian Birds,Sálim Ali,4.46,297,1491,1941
The Brethren,H. Rider Haggard,3.95,643,803,1904
"To Gaze Upon Wicked Gods (To Gaze Upon Wicked Gods, #1)",Molly X. Chang,3.54,1480,45720,2024
The Man Who Never Was (Oxford Paperbacks),Ewen Montagu,3.96,1415,2613,1953
"Complete Works of Swami Vivekananda, 9 Vols.",Swami Vivekananda,4.6,2142,9729,1922
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,3107954,4086092,1950
The Witch Cult in Western Europe: A Study in Anthropology,Margaret Alice Murray,3.43,352,1616,1921
Tomorrow is Forever,Gwen Bristow,3.81,491,681,1945
Exhalation,Ted Chiang,4.28,92143,173474,2019
The Cinema Murder,E. Phillips Oppenheim,3.57,169,181,1917
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,481001,906816,2009
All We Were Promised,Ashton Lattimore,4.0,1124,29796,2024
Three Trapped Tigers (Latin American Literature),Guillermo Cabrera Infante,3.92,2006,5692,1965
Home Is Where the Bodies Are,Jeneva Rose,4.06,572,111191,2024
The Tattooist of Auschwitz,Heather   Morris,4.3,938085,26421,2024
A Very Large Expanse of Sea,Tahereh Mafi,4.09,61873,124606,2018
The Nun's Story,Kathryn Hulme,4.2,1191,2915,1952
"The Grim Grotto (A Series of Unfortunate Events, #11)",Lemony Snicket,4.02,114849,200785,2004
A Fire So Wild,Sarah Ruiz  Grossman,3.56,621,12122,2024
Civilisation,Kenneth Clark,4.26,1710,3921,1969
The Road to Oxiana,Robert Byron,3.9,3173,8617,1937
The Possibility of Evil,Shirley Jackson,3.68,917,2375,1965
The Wright Brothers,Quentin Reynolds,4.02,765,1459,1950
"Plays Well With Others: How to Date Your Best Friend (How to Date, #2)",Lauren Blakely,4.01,5717,17756,2023
The Royal Road to Romance (Travelers' Tales Classics),Richard Halliburton,4.28,593,2145,1925
Hellblazer: Original Sins,Jamie Delano,4.12,16443,27018,1988
"Flambards (Flambards, #1)",K.M. Peyton,4.07,2059,3422,1967
"Coldhearted King (Empty Kingdom, #1)",L.M. Dalgleish,4.17,10025,26604,2023
"Big Red (Big Red, #1)",Jim Kjelgaard,4.14,17687,23902,1945
Nicholas: A Manhattan Christmas Story,Anne Carroll Moore,2.14,42,242,1924
Contemporary Strategy Analysis,Robert M. Grant,3.81,621,827,1904
A Miscellany of Men,G.K. Chesterton,3.93,117,281,1920
"Barefoot Gen, Volume One: A Cartoon Story of Hiroshima",Keiji Nakazawa,4.26,8015,16518,1973
The Blue Flower,Penelope Fitzgerald,3.44,6060,16511,1995
The Black Swan (Die Betrogene),Thomas Mann,3.56,1085,1432,1953
Finding Flow: The Psychology of Engagement with Everyday Life,Mihály Csíkszentmihályi,3.9,6028,16100,1995
"The Man with the Dark Beard (Inspector Stoddart, #1)",Annie Haynes,3.59,238,416,1928
James Herriot's Dog Stories,James Herriot,4.43,7384,13725,1986
"The Handsome Road (Plantation Trilogy, #2)",Gwen Bristow,4.05,1039,1241,1938
Year of Wonders,Geraldine Brooks,4.01,162954,296127,2001
Hello Stranger,Katherine Center,3.96,82715,223690,2023
The Adventures of Reddy Fox,Thornton W. Burgess,4.13,1019,1892,1913
The Apple and the Arrow,Mary Buff,3.91,2625,4795,1951
The Black Dwarf,Walter Scott,3.52,310,823,1915
"Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson,4.46,58737,79174,2001
The Secret Diary of Elisabeth Leseur: The Woman Whose Goodness Changed Her Husband from Atheist to Priest,Elisabeth Leseur,4.26,306,1019,1914
"Closing the Ring (The Second World War, #5)",Winston S. Churchill,4.42,1992,4332,1951
"Enter a Murderer (Roderick Alleyn, #2)",Ngaio Marsh,3.82,6849,7622,1935
"Words of the Dragon: Interviews, 1958-1973 (Bruce Lee Library)",John Little (editor),3.95,93,227,1900
Shutter,Ramona Emerson,3.8,11337,16782,2023
The Godmakers,Frank Herbert,3.61,3090,4784,1972
We Were the Lucky Ones,Georgia Hunter,4.42,153625,352902,2017
"The Black Cauldron (The Chronicles of Prydain, #2)",Lloyd Alexander,4.12,64505,89121,1965
"If You Can't Take the Heat: Tales of Food, Feminism, and Fury",Geraldine DeRuiter,4.24,485,11800,2024
QB VII,Leon Uris,4.2,30086,36874,1970
"The Black Tower (Adam Dalgliesh, #5)",P.D. James,3.96,19315,23980,1975
Food in History,Reay Tannahill,3.97,1570,6882,1973
A Traveller in Time,Alison Uttley,4.09,2611,5862,1939
"Li Lun, Lad of Courage (A Newbery Honor book)",Carolyn Treffinger,3.62,1747,3059,1947
The Light of Western Stars,Zane Grey,4.04,1385,1220,1914
"Killman Creek (Stillhouse Lake, #2)",Rachel Caine,4.25,61524,117994,2017
Taoist Secrets of Love: Cultivating Male Sexual Energy,Mantak Chia,4.13,580,3046,1948
Killingly,Katharine Beutner,3.42,1103,24796,2023
Asana Pranayama Mudra Bandha/2008 Fourth Revised Edition,Satyananda Saraswati,4.52,1409,4396,1969
Sounds,Wassily Kandinsky,3.99,217,731,1912
Flower Fairies Treasury,Cicely Mary Barker,4.52,177,514,1923
The Coworker,Freida McFadden,3.81,210208,355673,2023
Columbus,Ingri d'Aulaire,4.16,707,1429,1955
Schoonheid op aarde,Charles-Ferdinand Ramuz,3.44,243,381,1927
"The Last Remains (Ruth Galloway, #15)",Elly Griffiths,4.42,16890,29702,2023
Hudson River Bracketed (Vance Weston #1),Edith Wharton,3.85,243,504,1929
Jean and Johnny,Beverly Cleary,3.76,1637,2394,1959
"It's in His Kiss (Bridgertons, #7)",Julia Quinn,3.99,153022,250244,2005
We Have Always Lived in the Castle,Shirley Jackson,3.93,228399,539632,1962
Anna of the Five Towns,Arnold Bennett,3.67,1655,2506,1902
The Death I Gave Him,Em X. Liu,3.42,1512,25691,2023
"Ride the River (The Sacketts, #5)",Louis L'Amour,4.15,6358,7403,1983
On Being Different: What It Means to Be a Homosexual (Penguin Classics),Merle Miller,4.27,1180,4549,1971
The Dreamer of Dreams,Marie of Romania,4.05,22,255,1915
The Glass Menagerie,Tennessee Williams,3.73,133681,222651,1945
A Breath of Life,Clarice Lispector,4.28,3037,13913,1978
The Raymond Chandler Omnibus,Raymond Chandler,4.47,298,619,1943
The Best of Me,Nicholas Sparks,3.97,178387,290969,2010
Taggart,Louis L'Amour,4.0,2573,3122,1959
Hunter's Green,Phyllis A. Whitney,3.88,2339,3532,1968
The Cartographers,Peng Shepherd,3.64,65634,196828,2022
"Deathworld 2 (Deathworld, #2)",Harry Harrison,3.78,3145,3410,1963
Biggles and the Cruise of the Condor,W.E. Johns,3.97,552,711,1933
One by One They Disappeared,Moray Dalton,3.87,267,715,1928
The Dead Shall be Raised & Murder of a Quack (Chief Inspector Littlejohn #4-5),George Bellairs,4.03,671,735,1942
"The Last Vampire (The Last Vampire, #1)",Christopher Pike,3.91,9409,17246,1994
The Eternal Savage: Nu of the Neocene,Edgar Rice Burroughs,3.6,334,479,1914
The Civil War (American Heritage),Bruce Catton,4.1,1768,3280,1960
"Plague (Gone, #4)",Michael  Grant,4.17,56693,97174,2011
The Making of the Atomic Bomb,Richard Rhodes,4.39,22380,71832,1986
The Only Woman in the Room,Marie Benedict,3.85,82791,146414,2019
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.7,23387,28200,1990
Killer Clown: The John Wayne Gacy Murders,Terry Sullivan,3.94,6388,13985,1983
The End of Summer,Rosamunde Pilcher,3.76,6246,6868,1971
"The Cruelest Month (Chief Inspector Armand Gamache, #3)",Louise Penny,4.16,103092,112393,2007
The Last of the Moon Girls,Barbara  Davis,4.21,65884,164400,2020
Rear Window,Cornell Woolrich,4.0,1828,4605,1942
"Son of a Witch (The Wicked Years, #2)",Gregory Maguire,3.49,62653,104657,2005
The Ghost Illusion,Kat Martin,4.03,2023,22245,2023
"Black House (The Talisman, #2)",Stephen King,4.03,63427,105089,2001
Hornblower During the Crisis,C.S. Forester,4.06,6674,7800,1967
Elmer Gantry,Sinclair Lewis,4.01,5899,860,1927
"Good Night, Mr. Tom",Michelle Magorian,4.31,49542,53311,1981
"Death in the Clouds (Hercule Poirot, #12)",Agatha Christie,3.86,54713,71843,1935
The Diary of a Forty-Niner,Chauncey L. Canfield,4.36,482,668,1906
Without Seeing the Dawn,Stevan Javellana,4.01,822,2561,1947
"A History of the English Speaking Peoples, 4 Vols",Winston S. Churchill,4.31,1397,3718,1956
জাগরী,Satinath Bhaduri,4.39,191,577,1945
The Incredible Journey,Sheila Burnford,4.16,51458,67501,1960
The Life Impossible,Matt Haig,4.22,27,69148,2024
Great Siege: Malta 1565 (Wordsworth Military Library.),Ernle Bradford,4.38,2362,3333,1961
Drinking Games,Sarah   Levy,3.78,5490,28971,2023
Myths and Legends of Japan,F. Hadland Davis,3.59,672,1587,1912
The Idiot,Elif Batuman,3.67,80127,280687,2017
Marxism and Literature,Raymond Williams,4.08,1626,4534,1977
"The Secret Island (Secret Series, #1)",Enid Blyton,4.22,4413,6353,1938
The Story of the Pony Express,Glenn D. Bradley,3.56,100,195,1913
The Second Common Reader,Virginia Woolf,4.29,385,1628,1932
Difficult Conversations: How to Discuss What Matters Most,Douglas Stone,4.07,17817,54193,1999
"Track of the Cat (Anna Pigeon, #1)",Nevada Barr,3.83,20509,29238,1993
This Other Eden,Paul Harding,3.8,12529,48584,2023
"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,4.06,155918,179067,2015
"A Year Down Yonder (A Long Way from Chicago, #2)",Richard Peck,4.13,29943,41045,2000
"Ramona and Her Mother (Ramona Quimby, #5)",Beverly Cleary,4.11,27000,36616,1979
Parker Pyne Investigates,Agatha Christie,3.77,19645,32299,1934
"Squanto, Friend of the Pilgrims",Clyde Robert Bulla,3.88,3226,5219,1954
Strange Meeting,Susan         Hill,3.93,2262,4827,1971
"Love's Unfolding Dream (Love Comes Softly, #6)",Janette Oke,4.23,9554,15685,1987
"Release Me (Stark Trilogy, #1)",J. Kenner,4.11,80430,130869,2013
The Blue Bird,Maurice Maeterlinck,3.82,1968,3293,1905
The Second Chance Hotel,Sierra Godfrey,3.63,3567,21432,2023
Dynamic Figure Drawing,Burne Hogarth,4.01,4533,7827,1970
"Mozart: the man and the artist, as revealed in his own words",Wolfgang Amadeus Mozart,3.76,190,491,1905
"The Recruit (Cherub, #1)",Robert Muchamore,4.23,36321,53494,2004
Jamilia,Chingiz Aitmatov,3.89,8259,8272,1958
The Great Good Place,Henry James,3.14,51,182,1900
To Bedlam and Part Way Back,Anne Sexton,4.26,846,2211,1960
"The Dark Tower (The Dark Tower, #7)",Stephen King,4.28,174125,254374,2004
"Golden Son (Red Rising Saga, #2)",Pierce Brown,4.47,265266,348180,2015
Native Speaker,Chang-rae Lee,3.75,8242,20030,1995
Ann Veronica,H.G. Wells,3.56,1377,3112,1909
"Atlas Paradox (Atlas Series, 2)",Olivie Blake,3.58,52669,12293,2024
Mad Love,André Breton,3.73,1250,3931,1937
Orbital,Samantha Harvey,3.75,2095,11898,2023
A Short History of Russia,Mary Platt Parmele,3.46,280,542,1900
Ariel Custer,Grace Livingston Hill,4.1,386,418,1925
Robert the Rose Horse,Joan Heilbroner,4.24,3795,5455,1962
The Thick and the Lean,Chana Porter,3.65,836,15578,2023
Near to the Wild Heart,Clarice Lispector,4.04,9994,43535,1943
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Greg Behrendt,3.66,65771,100690,2004
It's Not the End of the World,Judy Blume,3.78,7191,11122,1972
Bad Summer People,Emma Rosenblum,3.46,51921,110072,2023
The Silver Brumby,Elyne Mitchell,4.33,2873,4687,1958
The Road to Yesterday (Anne of Green Gables),L.M. Montgomery,3.83,3891,14233,1974
The Shadowhunter's Codex,Cassandra Clare (Compiler),3.91,37808,108083,2013
Becoming Ella Fitzgerald: The Jazz Singer Who Transformed American Song,Judith Tick,3.8,155,6798,2023
The Four Adventures of Richard Hannay,John Buchan,4.11,193,472,1919
The Art of Choosing,Sheena Iyengar,3.84,6560,24568,1989
"The Spine of the World (Forgotten Realms: Paths of Darkness, #2; Legend of Drizzt, #12)",R.A. Salvatore,3.91,18771,26374,1999
An Island Hell,S.A. Malsagoff,3.79,150,336,1926
Saint Joan of the Stockyards,Bertolt Brecht,3.58,1094,938,1931
Life and Death in Shanghai,Nien Cheng,4.32,13524,27610,1986
The Last Caretaker,Jessica Strawser,3.9,8716,28856,2023
La herencia de Eszter,Sándor Márai,3.71,4322,719,1939
Sub-Terra,Baldomero Lillo,3.62,1109,375,1904
Prince Charming,Julie Garwood,4.09,14863,20302,1994
Roast Beef Medium: The Business Adventures of Emma McChesney,Edna Ferber,3.87,257,334,1913
"The Walking Dead, Vol. 2: Miles Behind Us",Robert Kirkman,4.23,40579,53606,2004
The Kip Brothers,Jules Verne,3.61,235,784,1902
The Patch of Blue (Grace Livingston Hill Series),Grace Livingston Hill,4.21,339,481,1932
Arcadia,Tom Stoppard,4.14,23069,44857,1993
What is Coming?,H.G. Wells,3.56,116,167,1916
The Metropolis and Mental Life,Georg Simmel,3.9,370,477,1903
"A Story, a Story",Gail E. Haley,3.99,3339,5176,1970
"Full Moon o Sagashite, Vol. 1",Arina Tanemura,4.07,23700,39386,2002
Powers of Horror: An Essay on Abjection,Julia Kristeva,4.06,3637,14500,1980
Cloudy Jewel,Grace Livingston Hill,4.1,1303,1172,1920
"Against All Odds (Holt Hockey, #2)",C.W. Farnsworth,4.01,6516,20370,2024
The Land,Vita Sackville-West,4.28,662,302,1926
She Shall Have Murder (Jane and Dagobert Brown #1),Delano Ames,3.85,144,1034,1948
Slacks and Calluses: Our Summer in a Bomber Factory,Constance Bowman Reid,4.01,298,816,1944
The Berenstain Bears and the Messy Room,Stan Berenstain,4.18,34556,42734,1983
Pumpkinheads,Rainbow Rowell,4.03,82431,177987,2019
The Civilizing Process,Norbert Elias,4.25,1006,4349,1939
The House of the Spirits,Isabel Allende,4.28,270227,449839,1982
Água Viva,Clarice Lispector,4.29,11160,35229,1973
"Born of Night (The League: Nemesis Rising, #1)",Sherrilyn Kenyon,4.19,27506,37024,1995
An American Dilemma: The Negro Problem and Modern Democracy Vol. 1,Gunnar Myrdal,4.13,121,2515,1944
Just the Nicest Couple,Mary Kubica,3.56,119846,217983,2023
Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,Thomas  Moore,3.98,17748,39090,1988
"The Stoic (Trilogy of desire, #3)",Theodore Dreiser,4.35,2703,4380,1947
Believe in Yourself,Joseph Murphy,4.06,2274,5399,1954
The Thinking Reed,Rebecca West,3.59,213,1293,1936
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,4.36,183487,450046,2018
The Bandit of Hell's Bend,Edgar Rice Burroughs,3.64,195,312,1924
"Inheritance (The Lost Bride Trilogy, #1)",Nora Roberts,4.4,26852,74760,2023
Abe Lincoln Grows Up,Carl Sandburg,3.51,213,531,1926
The Last Days of Hitler,Hugh R. Trevor-Roper,4.05,1649,3837,1947
The Red Lodge,H.R. Wakefield,3.55,305,302,1928
The Fifth Mountain,Paulo Coelho,3.63,43907,52995,1996
"Duncton Wood (Duncton Chronicles, #1)",William Horwood,4.04,5175,10690,1980
The Gold Hunters: A Story of Life and Adventure in the Hudson Bay Wilds,James Oliver Curwood,3.96,245,234,1909
Amadeus,Peter Shaffer,4.16,18373,31981,1979
Seven Types of Ambiguity,William Empson,3.82,572,3506,1930
"Flametti, or The Dandyism of the Poor",Hugo Ball,3.56,52,197,1918
Dostoevsky,Nikolai A. Berdyaev,4.14,327,733,1923
The Wimsey Papers (Lord Peter Wimsey),Dorothy L. Sayers,3.89,330,765,1939
Fighting the Flying Circus,Eddie V. Rickenbacker,4.4,188,244,1919
The Tale of the Pie and the Patty-Pan,Beatrix Potter,3.87,1903,3004,1905
The Rainbow,D.H. Lawrence,3.7,20597,43493,1915
"The Bear and the Dragon  (John Clark, #3; Jack Ryan Universe, #11)",Tom Clancy,3.89,29672,40168,2000
Selected Stories,O. Henry,4.17,17615,25886,1922
Options,O. Henry,3.86,91,148,1909
Rita Hayworth and Shawshank Redemption,Stephen King,4.5,43602,69643,1982
The New Book of Middle Eastern Food,Claudia Roden,4.13,3664,9955,1968
El túnel,Ernesto Sabato,4.02,75264,9164,1948
Holding Up the Universe,Jennifer Niven,3.7,129782,290342,2016
The Guest Room,Tasha Sylva,3.32,1653,19958,2023
Women Who Run With the Wolves,Clarissa Pinkola Estés,4.13,75635,276245,1992
"The Secret of Mirror Bay (Nancy Drew Mystery Stories, #49)",Carolyn Keene,3.89,3551,7808,1972
"Visions of Sugar Plums (Stephanie Plum, #8.5)",Janet Evanovich,3.72,80665,112573,2002
Splinters,Leslie Jamison,3.93,1655,16999,2024
First Impressions,Nora Roberts,3.81,9746,12427,1984
The Flying Inn,G.K. Chesterton,3.8,888,1831,1914
A Void,Georges Perec,3.76,3471,10597,1969
His Last Bow (single story),Arthur Conan Doyle,4.0,1855,3292,1917
"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,3.88,147178,239924,2014
Bad for Business,Rex Stout,3.99,546,782,1940
An Autobiography: Toward Freedom,Mark Tully,3.93,624,2507,1940
An Actor Prepares,Constantin Stanislavski,4.09,4656,12144,1936
Beginning to Pray,Anthony Bloom,4.41,1593,3443,1970
Night Stalker: The Life and Crimes of Richard Ramirez,Philip Carlo,4.02,13668,29685,1996
The Forbidden Territory,Dennis Wheatley,3.86,302,670,1933
"Fangirl Down (Big Shots, #1)",Tessa Bailey,4.02,36939,109426,2024
"Halo (Halo, #1)",Alexandra Adornetto,3.66,69184,144930,2010
The Dynamic Laws of Prosperity,Catherine Ponder,4.24,2388,5794,1962
The Story of My Boyhood and Youth,John Muir,4.1,859,1515,1913
Galatea,Madeline Miller,3.93,89713,157393,2013
The Things We Do for Love,Kristin Hannah,4.14,59162,88575,2004
A Glossary of Literary Terms,M.H. Abrams,4.07,1009,2096,1941
Becoming the Boogeyman,Richard  Chizmar,4.16,4425,38221,2023
"Among the Betrayed (Shadow Children, #3)",Margaret Peterson Haddix,4.06,26968,41889,2002
Calculus,Michael Spivak,4.51,906,3626,1967
"Burned Dreams (Perfectly Imperfect, #7)",Neva Altaj,3.88,16100,34138,2023
The Memoirs of Colonel John S. Mosby,John Singleton Mosby,4.11,549,690,1917
The American Diary of a Japanese Girl,Yoné Noguchi,2.87,85,301,1902
Lord Kalvan of Otherwhen (Paratime Police),H. Beam Piper,4.18,1437,2207,1965
The Way of Zen,Alan W. Watts,4.17,21258,62360,1957
Dracula: Original Text: The Graphic Novel (British English),Jason Cobley (Adapter),3.75,347,540,1913
Confessions of a Forty-Something F**k Up,Alexandra Potter,4.08,18492,19831,2023
Roverandom,J.R.R. Tolkien,3.88,14800,24506,1998
Execution: The Discipline of Getting Things Done,Larry Bossidy,3.87,26174,74172,2006
A Promised Land,Barack Obama,4.34,228604,552899,2020
"Murder Must Advertise  (Lord Peter Wimsey, #10)",Dorothy L. Sayers,4.17,23181,33421,1933
Chicken Every Sunday: My Life with Mother's Boarders,Rosemary Taylor,4.07,368,1164,1943
The Enchanted April,Elizabeth von Arnim,3.92,30822,53791,1922
